"from";"to"
"stat";"11000002"
"12006065";"12006071"
"12006065";"12006070"
"12006065";"12006069"
"12006065";"12006068"
"12006065";"12006067"
"12006065";"12012096"
"12006065";"12006079"
"12006065";"12006078"
"12006065";"12006077"
"12006065";"12006076"
"12006065";"12006073"
"12006065";"12006066"
"12006065";"12006062"
"12006065";"12006061"
"12006065";"12006060"
"12006065";"12006074"
"12006065";"12006059"
"12006065";"12006075"
"12006065";"12006058"
"12006065";"12006057"
"12006065";"12006056"
"12005974";"12005975"
"12005974";"12005976"
"12005974";"12005978"
"12005974";"12005980"
"12006012";"12006013"
"12006012";"12006014"
"12006012";"12012358"
"12006015";"12006017"
"12006015";"12006016"
"12006018";"12012116"
"12006018";"12006021"
"12006018";"12006019"
"12011348";"12005983"
"12011348";"12005982"
"12011348";"12005979"
"stat";"11000008"
"11000008";"12005506"
"11000008";"12005516"
"11000008";"12005541"
"11000008";"12012382"
"11000008";"12005566"
"11000008";"12012381"
"11000008";"12012377"
"11000008";"12012265"
"11000008";"12012263"
"11000008";"12005602"
"11000008";"12005591"
"11000008";"12012386"
"11000008";"12012607"
"11000008";"12005500"
"12005500";"12005568"
"12005500";"12005507"
"12005500";"12005510"
"12005541";"12005486"
"12005541";"12005589"
"12005541";"12012264"
"12005541";"12012376"
"12005566";"12005501"
"12005566";"12005520"
"12005566";"12005523"
"12005566";"12005572"
"12005591";"12005533"
"12005591";"12005542"
"12005591";"12005550"
"12005591";"12011247"
"12005591";"12005497"
"12005591";"12005528"
"12005591";"12011442"
"12012377";"12012379"
"12012377";"12012378"
"12012377";"12011892"
"12012377";"12010800"
"12012377";"12005549"
"12012377";"12005548"
"12012381";"12005592"
"12012381";"12005530"
"12012381";"12005535"
"12012381";"12005564"
"12012381";"12010799"
"12012381";"12005569"
"12012381";"12005599"
"12012382";"12005515"
"12012382";"12005514"
"12012382";"12005511"
"12012382";"12005558"
"12012382";"12005493"
"12012382";"12012608"
"12012382";"12011881"
"12012382";"12012605"
"12012382";"12011959"
"12005507";"12005508"
"12005507";"12005509"
"12005510";"12005525"
"12005510";"12011022"
"12005510";"12005538"
"12005568";"12011891"
"12005568";"12005600"
"12005501";"12010798"
"12005501";"12010797"
"12005501";"12005588"
"12005520";"12005522"
"12005520";"12005596"
"12005520";"12011888"
"12005520";"12005521"
"12005520";"12005595"
"12005523";"12005539"
"12005523";"12005587"
"12005523";"12005524"
"12005572";"12005573"
"12005572";"12005574"
"12005528";"12005554"
"12005528";"12005482"
"12005528";"12005555"
"12005542";"12005545"
"12005542";"12005544"
"12005542";"12005543"
"12005550";"12005492"
"12005550";"12005551"
"12005550";"12005552"
"12005550";"12005553"
"12005550";"12005557"
"12005550";"12005565"
"12011247";"12005593"
"12011247";"12011889"
"12011247";"12012022"
"12011247";"12012380"
"12005530";"12005531"
"12005530";"12005532"
"12005530";"12012387"
"12005535";"12005536"
"12005535";"12005537"
"12005569";"12005571"
"12005569";"12005570"
"12005592";"12005488"
"12005592";"12005487"
"12005511";"12005513"
"12005511";"12005526"
"12005514";"12005597"
"12005514";"12005598"
"12005515";"12005503"
"12005515";"12005505"
"12005515";"12005527"
"12005558";"12005494"
"12005558";"12005559"
"12011881";"12011883"
"12011881";"12011884"
"12011881";"12011885"
"12011881";"12011886"
"12011881";"12011887"
"12011881";"12011958"
"12012605";"12012606"
"12012605";"12012383"
"12012605";"12011023"
"12012605";"12005581"
"12012605";"12005580"
"12012608";"12012609"
"12012608";"12012610"
"stat";"11000009"
"11000009";"12010069"
"11000009";"12010243"
"11000009";"12010165"
"11000009";"12010182"
"11000009";"12011060"
"11000009";"12010093"
"11000009";"12010111"
"11000009";"12011057"
"11000009";"12010134"
"11000009";"12010070"
"11000009";"12010208"
"12010070";"12011413"
"12010070";"12010092"
"12010070";"12010091"
"12010093";"12010095"
"12010093";"12010096"
"12010093";"12010094"
"12010111";"12010125"
"12010111";"12010117"
"12010111";"12010128"
"12010111";"12010112"
"12010134";"12011846"
"12010134";"12011414"
"12010134";"12010251"
"12010134";"12010245"
"12010134";"12010120"
"12010134";"12010169"
"12010134";"12010166"
"12010134";"12010147"
"12010134";"12010135"
"12010134";"12010143"
"12010134";"12010138"
"12010165";"12012140"
"12010165";"12011420"
"12010165";"12011419"
"12010165";"12010248"
"12010165";"12010160"
"12010165";"12010157"
"12010165";"12010154"
"12010165";"12010151"
"12010182";"12010204"
"12010182";"12010201"
"12010182";"12010198"
"12010182";"12010193"
"12010182";"12010190"
"12010182";"12010186"
"12010182";"12010183"
"12010208";"12010209"
"12010208";"12010213"
"12010208";"12010218"
"12010208";"12010222"
"12010208";"12011844"
"12010208";"12012049"
"12010208";"12012133"
"12010243";"12012200"
"12010243";"12011184"
"12010243";"12010991"
"12010243";"12010240"
"12010243";"12010232"
"12010243";"12010180"
"12010243";"12010176"
"12011057";"12011058"
"12011057";"12011059"
"12011060";"12011082"
"12011060";"12011081"
"12010112";"12010113"
"12010112";"12010114"
"12010112";"12010115"
"12010117";"12010118"
"12010117";"12010119"
"12010125";"12010127"
"12010125";"12010126"
"12010128";"12010129"
"12010128";"12010131"
"12010128";"12010133"
"12010128";"12010132"
"12010120";"12010124"
"12010120";"12010123"
"12010120";"12010121"
"12010135";"12010137"
"12010135";"12010136"
"12010138";"12010140"
"12010138";"12010142"
"12010143";"12010144"
"12010143";"12010145"
"12010143";"12010146"
"12010147";"12010148"
"12010147";"12010149"
"12010147";"12011993"
"12010166";"12010167"
"12010166";"12011417"
"12010166";"12011422"
"12010169";"12010170"
"12010169";"12010171"
"12010169";"12010172"
"12010169";"12010175"
"12010245";"12010246"
